test_id,test_name,model,carrier,family_id,probe_class,rep,pass,is_infra_error,expected_result
229,QS016A,google/gemma-4-e2b,neutral_control,QS-FA16,quant-scope,4,1,0,TRUE
229,QS016A,google/gemma-4-e2b,neutral_control,QS-FA16,quant-scope,5,1,0,TRUE
229,QS016A,google/gemma-4-e2b,neutral_control,QS-FA16,quant-scope,6,1,0,TRUE
230,QS016B,google/gemma-4-e2b,neutral_control,QS-FA16,quant-scope,1,1,0,FALSE
230,QS016B,google/gemma-4-e2b,neutral_control,QS-FA16,quant-scope,2,1,0,FALSE
230,QS016B,google/gemma-4-e2b,neutral_control,QS-FA16,quant-scope,3,1,0,FALSE
230,QS016B,google/gemma-4-e2b,neutral_control,QS-FA16,quant-scope,4,1,0,FALSE
230,QS016B,google/gemma-4-e2b,neutral_control,QS-FA16,quant-scope,5,1,0,FALSE
230,QS016B,google/gemma-4-e2b,neutral_control,QS-FA16,quant-scope,6,1,0,FALSE
231,QS017A,google/gemma-4-e2b,neutral_control,QS-FA17,quant-scope,1,1,0,TRUE
231,QS017A,google/gemma-4-e2b,neutral_control,QS-FA17,quant-scope,2,0,0,TRUE
231,QS017A,google/gemma-4-e2b,neutral_control,QS-FA17,quant-scope,3,0,0,TRUE
231,QS017A,google/gemma-4-e2b,neutral_control,QS-FA17,quant-scope,4,0,0,TRUE
231,QS017A,google/gemma-4-e2b,neutral_control,QS-FA17,quant-scope,5,0,0,TRUE
231,QS017A,google/gemma-4-e2b,neutral_control,QS-FA17,quant-scope,6,0,0,TRUE
232,QS017B,google/gemma-4-e2b,neutral_control,QS-FA17,quant-scope,1,1,0,FALSE
232,QS017B,google/gemma-4-e2b,neutral_control,QS-FA17,quant-scope,2,1,0,FALSE
232,QS017B,google/gemma-4-e2b,neutral_control,QS-FA17,quant-scope,3,1,0,FALSE
232,QS017B,google/gemma-4-e2b,neutral_control,QS-FA17,quant-scope,4,1,0,FALSE
232,QS017B,google/gemma-4-e2b,neutral_control,QS-FA17,quant-scope,5,1,0,FALSE
